fuente,contenido,texto_limpio
Email,"Estimados, quisiera saber los precios de secundaria para mi hijo Maria.",estimados quisiera saber los precios de secundaria para mi hijo maria
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para inicial 3 años? Mi niño se llama Thiago.</b></p>,hola hay disponibilidad de ingreso para inicial 3 anos mi nino se llama thiago
Web,entrevistas de admision para inicial 3 años. Mi menor es Nicolas.,entrevistas de admision para inicial 3 anos mi menor es nicolas
Web,documentos para traslado a primer año. Postulante: Pedro.,documentos para traslado a primer ano postulante pedro
Web,reunión de admision para inicial 5 años. Mi menor es Lucia.,reunion de admision para inicial 5 anos mi menor es lucia
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Nicolas.",estimados quisiera saber los costos de 5to secundaria para mi hijo nicolas
WhatsApp,HOLA HAY LUGARES PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA LUIS.,hola hay lugares para inicial 3 anos mi nino se llama luis
WhatsApp,Saber si hay vacantes en 1ero primaria para Thiago. Gracias.,saber si hay vacantes en 1ero primaria para thiago gracias
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Ana.",estimados quisiera saber los mensualidad de primer ano para mi hijo ana
Email,<p><b>Solicito información de mensualidad y detalles para inicial 5 años. Atte: Ana.</b></p>,solicito informacion de mensualidad y detalles para inicial 5 anos atte ana
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 6TO PRIMARIA? MI NIÑO SE LLAMA ANA.,hola hay disponibilidad de ingreso para 6to primaria mi nino se llama ana
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Mateo.",estimados quisiera saber los precios de inicial 4 anos para mi hijo mateo
Web,citas de admision para 1ero primaria. Mi menor es Juan.,citas de admision para 1ero primaria mi menor es juan
Web,partidas para traslado a 1ero primaria. Postulante: Maria.,partidas para traslado a 1ero primaria postulante maria
Email,Solicito información de precios y detalles para 1ero secundaria. Atte: Thiago.,solicito informacion de precios y detalles para 1ero secundaria atte thiago
Email,Solicito información de precios y detalles para secundaria. Atte: Sebastian.,solicito informacion de precios y detalles para secundaria atte sebastian
WhatsApp,Saber si hay lugares en 1ero secundaria para Sofia. Gracias.,saber si hay lugares en 1ero secundaria para sofia gracias
Web,documentos para traslado a inicial 3 años. Postulante: Mateo.,documentos para traslado a inicial 3 anos postulante mateo
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN INICIAL 5 AÑOS PARA MATEO. GRACIAS.,saber si hay disponibilidad de ingreso en inicial 5 anos para mateo gracias
Web,ficha de matrícula para traslado a primer grado. Postulante: Pedro.,ficha de matricula para traslado a primer grado postulante pedro
Web,charlas de admision para inicial 5 años. Mi menor es Lucia.,charlas de admision para inicial 5 anos mi menor es lucia
WhatsApp,<p><b>Saber si hay espacios en inicial 4 años para Maria. Gracias.</b></p>,saber si hay espacios en inicial 4 anos para maria gracias
Email,Solicito información de costos y detalles para 1ero primaria. Atte: Juan.,solicito informacion de costos y detalles para 1ero primaria atte juan
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Thiago.,hola hay vacantes para primer ano mi nino se llama thiago
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Camila.,hola hay lugares para 5to secundaria mi nino se llama camila
Web,REUNIÓN DE ADMISION PARA INICIAL 5 AÑOS. MI MENOR ES NICOLAS.,reunion de admision para inicial 5 anos mi menor es nicolas
Email,"<p><b>Estimados, quisiera saber los cuotas de 5to secundaria para mi hijo Gabriel.</b></p>",estimados quisiera saber los cuotas de 5to secundaria para mi hijo gabriel
Email,Solicito información de precios y detalles para primer año. Atte: Valentina.,solicito informacion de precios y detalles para primer ano atte valentina
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Sofia.",estimados quisiera saber los precios de 6to primaria para mi hijo sofia
Web,entrevistas de admision para 6to primaria. Mi menor es Sofia.,entrevistas de admision para 6to primaria mi menor es sofia
Email,"Estimados, quisiera saber los pensiones de 1ero primaria para mi hijo Sofia.",estimados quisiera saber los pensiones de 1ero primaria para mi hijo sofia
WhatsApp,Hola hay espacios para 1ero secundaria? Mi niño se llama Thiago.,hola hay espacios para 1ero secundaria mi nino se llama thiago
Email,Solicito información de costos y detalles para 5to secundaria. Atte: Lucia.,solicito informacion de costos y detalles para 5to secundaria atte lucia
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Nicolas.,hola hay vacantes para 1ero secundaria mi nino se llama nicolas
Web,cronograma de admision para inicial 4 años. Mi menor es Elena.,cronograma de admision para inicial 4 anos mi menor es elena
WhatsApp,Hola hay vacantes para primer año? Mi niño se llama Lucia.,hola hay vacantes para primer ano mi nino se llama lucia
Email,Solicito información de pagos y detalles para 1ero secundaria. Atte: Maria.,solicito informacion de pagos y detalles para 1ero secundaria atte maria
Email,Solicito información de cuotas y detalles para primer grado. Atte: Sebastian.,solicito informacion de cuotas y detalles para primer grado atte sebastian
Web,ficha de matrícula para traslado a inicial 4 años. Postulante: Valentina.,ficha de matricula para traslado a inicial 4 anos postulante valentina
Email,"ESTIMADOS, QUISIERA SABER LOS PENSIONES DE PRIMER GRADO PARA MI HIJO NICOLAS.",estimados quisiera saber los pensiones de primer grado para mi hijo nicolas
WhatsApp,HOLA HAY ESPACIOS PARA INICIAL 3 AÑOS? MI NIÑO SE LLAMA JUAN.,hola hay espacios para inicial 3 anos mi nino se llama juan
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Sebastian.,hola hay lugares para inicial 3 anos mi nino se llama sebastian
Web,cronograma de admision para 5to secundaria. Mi menor es Maria.,cronograma de admision para 5to secundaria mi menor es maria
Web,ficha de matrícula para traslado a primer año. Postulante: Camila.,ficha de matricula para traslado a primer ano postulante camila
WhatsApp,Hola hay espacios para primer año? Mi niño se llama Lucia.,hola hay espacios para primer ano mi nino se llama lucia
Web,<p><b>partidas para traslado a 5to secundaria. Postulante: Pedro.</b></p>,partidas para traslado a 5to secundaria postulante pedro
WhatsApp,Hola hay cupos para inicial 5 años? Mi niño se llama Nicolas.,hola hay cupos para inicial 5 anos mi nino se llama nicolas
Email,"<p><b>Estimados, quisiera saber los cuotas de primer año para mi hijo Gabriel.</b></p>",estimados quisiera saber los cuotas de primer ano para mi hijo gabriel
Web,cronograma de admision para inicial 4 años. Mi menor es Mateo.,cronograma de admision para inicial 4 anos mi menor es mateo
Web,citas de admision para 6to primaria. Mi menor es Elena.,citas de admision para 6to primaria mi menor es elena
Web,<p><b>papeles para traslado a 1ero primaria. Postulante: Camila.</b></p>,papeles para traslado a 1ero primaria postulante camila
Email,<p><b>Solicito información de pensiones y detalles para inicial 5 años. Atte: Pedro.</b></p>,solicito informacion de pensiones y detalles para inicial 5 anos atte pedro
Web,DOCUMENTOS PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: SOFIA.,documentos para traslado a inicial 5 anos postulante sofia
WhatsApp,Saber si hay disponibilidad de ingreso en 1ero primaria para Nicolas. Gracias.,saber si hay disponibilidad de ingreso en 1ero primaria para nicolas gracias
Web,documentación para traslado a inicial 5 años. Postulante: Maria.,documentacion para traslado a inicial 5 anos postulante maria
Web,cronograma de admision para 6to primaria. Mi menor es Juan.,cronograma de admision para 6to primaria mi menor es juan
Web,ficha de matrícula para traslado a secundaria. Postulante: Pedro.,ficha de matricula para traslado a secundaria postulante pedro
Email,"Estimados, quisiera saber los cuotas de 1ero primaria para mi hijo Pedro.",estimados quisiera saber los cuotas de 1ero primaria para mi hijo pedro
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Nicolas.,hola hay cupos para 1ero secundaria mi nino se llama nicolas
WhatsApp,Saber si hay lugares en primer año para Luis. Gracias.,saber si hay lugares en primer ano para luis gracias
Web,REQUISITOS PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: LUIS.,requisitos para traslado a inicial 5 anos postulante luis
WhatsApp,Hola hay cupos para inicial 5 años? Mi niño se llama Mateo.,hola hay cupos para inicial 5 anos mi nino se llama mateo
WhatsApp,SABER SI HAY CUPOS EN 1ERO PRIMARIA PARA JUAN. GRACIAS.,saber si hay cupos en 1ero primaria para juan gracias
Web,citas de admision para inicial 5 años. Mi menor es Valentina.,citas de admision para inicial 5 anos mi menor es valentina
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA 6TO PRIMARIA. ATTE: MARIA.,solicito informacion de mensualidad y detalles para 6to primaria atte maria
Web,entrevistas de admision para primer año. Mi menor es Elena.,entrevistas de admision para primer ano mi menor es elena
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA PEDRO.,hola hay disponibilidad de ingreso para 1ero primaria mi nino se llama pedro
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Maria.,hola hay vacantes para inicial 4 anos mi nino se llama maria
Web,documentos para traslado a inicial 3 años. Postulante: Lucia.,documentos para traslado a inicial 3 anos postulante lucia
Email,"Estimados, quisiera saber los cuotas de primer año para mi hijo Mateo.",estimados quisiera saber los cuotas de primer ano para mi hijo mateo
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Elena.",estimados quisiera saber los pagos de inicial 3 anos para mi hijo elena
Email,Solicito información de precios y detalles para primer año. Atte: Camila.,solicito informacion de precios y detalles para primer ano atte camila
Web,<p><b>citas de admision para inicial 3 años. Mi menor es Camila.</b></p>,citas de admision para inicial 3 anos mi menor es camila
WhatsApp,Saber si hay vacantes en inicial 4 años para Maria. Gracias.,saber si hay vacantes en inicial 4 anos para maria gracias
Email,<p><b>Solicito información de cuotas y detalles para inicial 3 años. Atte: Valentina.</b></p>,solicito informacion de cuotas y detalles para inicial 3 anos atte valentina
Email,"<p><b>Estimados, quisiera saber los pensiones de 1ero secundaria para mi hijo Maria.</b></p>",estimados quisiera saber los pensiones de 1ero secundaria para mi hijo maria
Email,Solicito información de cuotas y detalles para 5to secundaria. Atte: Camila.,solicito informacion de cuotas y detalles para 5to secundaria atte camila
WhatsApp,Saber si hay espacios en secundaria para Juan. Gracias.,saber si hay espacios en secundaria para juan gracias
WhatsApp,Saber si hay cupos en secundaria para Nicolas. Gracias.,saber si hay cupos en secundaria para nicolas gracias
Email,"Estimados, quisiera saber los cuotas de primer grado para mi hijo Sofia.",estimados quisiera saber los cuotas de primer grado para mi hijo sofia
Web,documentación para traslado a primer año. Postulante: Ana.,documentacion para traslado a primer ano postulante ana
Web,CITAS DE ADMISION PARA 1ERO PRIMARIA. MI MENOR ES MATEO.,citas de admision para 1ero primaria mi menor es mateo
WhatsApp,Hola hay vacantes para secundaria? Mi niño se llama Maria.,hola hay vacantes para secundaria mi nino se llama maria
WhatsApp,Saber si hay cupos en inicial 3 años para Juan. Gracias.,saber si hay cupos en inicial 3 anos para juan gracias
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Juan.",estimados quisiera saber los precios de 6to primaria para mi hijo juan
WhatsApp,SABER SI HAY VACANTES EN 1ERO PRIMARIA PARA ANA. GRACIAS.,saber si hay vacantes en 1ero primaria para ana gracias
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Sofia.",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo sofia
Email,SOLICITO INFORMACIÓN DE PRECIOS Y DETALLES PARA INICIAL 4 AÑOS. ATTE: THIAGO.,solicito informacion de precios y detalles para inicial 4 anos atte thiago
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Pedro.,hola hay vacantes para 1ero secundaria mi nino se llama pedro
Email,"Estimados, quisiera saber los pagos de inicial 5 años para mi hijo Gabriel.",estimados quisiera saber los pagos de inicial 5 anos para mi hijo gabriel
Web,CRONOGRAMA DE ADMISION PARA 6TO PRIMARIA. MI MENOR ES THIAGO.,cronograma de admision para 6to primaria mi menor es thiago
Email,"<p><b>Estimados, quisiera saber los mensualidad de primer grado para mi hijo Sebastian.</b></p>",estimados quisiera saber los mensualidad de primer grado para mi hijo sebastian
Web,charlas de admision para inicial 5 años. Mi menor es Sofia.,charlas de admision para inicial 5 anos mi menor es sofia
WhatsApp,<p><b>Saber si hay cupos en 6to primaria para Juan. Gracias.</b></p>,saber si hay cupos en 6to primaria para juan gracias
WhatsApp,Hola hay espacios para 1ero secundaria? Mi niño se llama Gabriel.,hola hay espacios para 1ero secundaria mi nino se llama gabriel
Email,"Estimados, quisiera saber los cuotas de primer año para mi hijo Lucia.",estimados quisiera saber los cuotas de primer ano para mi hijo lucia
Email,<p><b>Solicito información de pensiones y detalles para 6to primaria. Atte: Sebastian.</b></p>,solicito informacion de pensiones y detalles para 6to primaria atte sebastian
Email,"Estimados, quisiera saber los mensualidad de inicial 4 años para mi hijo Luis.",estimados quisiera saber los mensualidad de inicial 4 anos para mi hijo luis
WhatsApp,Saber si hay espacios en inicial 5 años para Valentina. Gracias.,saber si hay espacios en inicial 5 anos para valentina gracias
Email,"<p><b>Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Camila.</b></p>",estimados quisiera saber los pagos de inicial 3 anos para mi hijo camila
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Juan.",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo juan
Email,"Estimados, quisiera saber los pensiones de primer grado para mi hijo Pedro.",estimados quisiera saber los pensiones de primer grado para mi hijo pedro
WhatsApp,<p><b>Saber si hay cupos en inicial 4 años para Valentina. Gracias.</b></p>,saber si hay cupos en inicial 4 anos para valentina gracias
Web,charlas de admision para primer grado. Mi menor es Maria.,charlas de admision para primer grado mi menor es maria
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 1ERO SECUNDARIA PARA SOFIA. GRACIAS.,saber si hay disponibilidad de ingreso en 1ero secundaria para sofia gracias
Email,SOLICITO INFORMACIÓN DE COSTOS Y DETALLES PARA INICIAL 5 AÑOS. ATTE: MARIA.,solicito informacion de costos y detalles para inicial 5 anos atte maria
Web,ficha de matrícula para traslado a 6to primaria. Postulante: Sofia.,ficha de matricula para traslado a 6to primaria postulante sofia
WhatsApp,<p><b>Saber si hay lugares en primer año para Thiago. Gracias.</b></p>,saber si hay lugares en primer ano para thiago gracias
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA 6TO PRIMARIA? MI NIÑO SE LLAMA VALENTINA.,hola hay disponibilidad de ingreso para 6to primaria mi nino se llama valentina
Web,entrevistas de admision para 6to primaria. Mi menor es Maria.,entrevistas de admision para 6to primaria mi menor es maria
WhatsApp,Saber si hay vacantes en 1ero secundaria para Pedro. Gracias.,saber si hay vacantes en 1ero secundaria para pedro gracias
Web,partidas para traslado a 5to secundaria. Postulante: Lucia.,partidas para traslado a 5to secundaria postulante lucia
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 5TO SECUNDARIA PARA ELENA. GRACIAS.,saber si hay disponibilidad de ingreso en 5to secundaria para elena gracias
Email,<p><b>Solicito información de cuotas y detalles para 1ero secundaria. Atte: Sebastian.</b></p>,solicito informacion de cuotas y detalles para 1ero secundaria atte sebastian
Web,documentación para traslado a secundaria. Postulante: Sofia.,documentacion para traslado a secundaria postulante sofia
Web,citas de admision para secundaria. Mi menor es Lucia.,citas de admision para secundaria mi menor es lucia
Email,<p><b>Solicito información de costos y detalles para inicial 5 años. Atte: Sebastian.</b></p>,solicito informacion de costos y detalles para inicial 5 anos atte sebastian
WhatsApp,<p><b>Hola hay espacios para secundaria? Mi niño se llama Maria.</b></p>,hola hay espacios para secundaria mi nino se llama maria
WhatsApp,Saber si hay disponibilidad de ingreso en secundaria para Sofia. Gracias.,saber si hay disponibilidad de ingreso en secundaria para sofia gracias
Email,"<p><b>Estimados, quisiera saber los mensualidad de primer grado para mi hijo Nicolas.</b></p>",estimados quisiera saber los mensualidad de primer grado para mi hijo nicolas
Web,<p><b>reunión de admision para primer año. Mi menor es Maria.</b></p>,reunion de admision para primer ano mi menor es maria
Web,CITAS DE ADMISION PARA INICIAL 4 AÑOS. MI MENOR ES SOFIA.,citas de admision para inicial 4 anos mi menor es sofia
Email,"Estimados, quisiera saber los cuotas de secundaria para mi hijo Sebastian.",estimados quisiera saber los cuotas de secundaria para mi hijo sebastian
WhatsApp,<p><b>Hola hay disponibilidad de ingreso para secundaria? Mi niño se llama Nicolas.</b></p>,hola hay disponibilidad de ingreso para secundaria mi nino se llama nicolas
Web,<p><b>charlas de admision para primer año. Mi menor es Mateo.</b></p>,charlas de admision para primer ano mi menor es mateo
Email,"Estimados, quisiera saber los costos de 6to primaria para mi hijo Juan.",estimados quisiera saber los costos de 6to primaria para mi hijo juan
Email,Solicito información de costos y detalles para primer año. Atte: Sebastian.,solicito informacion de costos y detalles para primer ano atte sebastian
Web,<p><b>partidas para traslado a inicial 5 años. Postulante: Luis.</b></p>,partidas para traslado a inicial 5 anos postulante luis
WhatsApp,Saber si hay vacantes en 1ero secundaria para Elena. Gracias.,saber si hay vacantes en 1ero secundaria para elena gracias
Web,<p><b>citas de admision para 1ero primaria. Mi menor es Gabriel.</b></p>,citas de admision para 1ero primaria mi menor es gabriel
Web,<p><b>cronograma de admision para primer año. Mi menor es Camila.</b></p>,cronograma de admision para primer ano mi menor es camila
Email,<p><b>Solicito información de mensualidad y detalles para 5to secundaria. Atte: Gabriel.</b></p>,solicito informacion de mensualidad y detalles para 5to secundaria atte gabriel
Email,Solicito información de mensualidad y detalles para 6to primaria. Atte: Juan.,solicito informacion de mensualidad y detalles para 6to primaria atte juan
Web,<p><b>requisitos para traslado a inicial 4 años. Postulante: Gabriel.</b></p>,requisitos para traslado a inicial 4 anos postulante gabriel
Email,"Estimados, quisiera saber los mensualidad de primer grado para mi hijo Mateo.",estimados quisiera saber los mensualidad de primer grado para mi hijo mateo
Web,citas de admision para 6to primaria. Mi menor es Valentina.,citas de admision para 6to primaria mi menor es valentina
Web,<p><b>documentos para traslado a 5to secundaria. Postulante: Ana.</b></p>,documentos para traslado a 5to secundaria postulante ana
WhatsApp,SABER SI HAY ESPACIOS EN 1ERO SECUNDARIA PARA ELENA. GRACIAS.,saber si hay espacios en 1ero secundaria para elena gracias
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Juan.,hola hay vacantes para 1ero secundaria mi nino se llama juan
WhatsApp,Saber si hay disponibilidad de ingreso en 6to primaria para Nicolas. Gracias.,saber si hay disponibilidad de ingreso en 6to primaria para nicolas gracias
Email,Solicito información de costos y detalles para 5to secundaria. Atte: Ana.,solicito informacion de costos y detalles para 5to secundaria atte ana
Web,requisitos para traslado a 6to primaria. Postulante: Gabriel.,requisitos para traslado a 6to primaria postulante gabriel
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 4 años para Elena. Gracias.,saber si hay disponibilidad de ingreso en inicial 4 anos para elena gracias
WhatsApp,Saber si hay vacantes en 5to secundaria para Sebastian. Gracias.,saber si hay vacantes en 5to secundaria para sebastian gracias
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en secundaria para Lucia. Gracias.</b></p>,saber si hay disponibilidad de ingreso en secundaria para lucia gracias
WhatsApp,Saber si hay disponibilidad de ingreso en inicial 4 años para Camila. Gracias.,saber si hay disponibilidad de ingreso en inicial 4 anos para camila gracias
Web,entrevistas de admision para primer año. Mi menor es Sebastian.,entrevistas de admision para primer ano mi menor es sebastian
Email,"Estimados, quisiera saber los pensiones de secundaria para mi hijo Luis.",estimados quisiera saber los pensiones de secundaria para mi hijo luis
Web,documentos para traslado a 1ero secundaria. Postulante: Sebastian.,documentos para traslado a 1ero secundaria postulante sebastian
WhatsApp,Hola hay cupos para 1ero secundaria? Mi niño se llama Elena.,hola hay cupos para 1ero secundaria mi nino se llama elena
Email,<p><b>Solicito información de pensiones y detalles para primer año. Atte: Camila.</b></p>,solicito informacion de pensiones y detalles para primer ano atte camila
Email,"Estimados, quisiera saber los cuotas de 1ero secundaria para mi hijo Valentina.",estimados quisiera saber los cuotas de 1ero secundaria para mi hijo valentina
WhatsApp,Hola hay cupos para 6to primaria? Mi niño se llama Lucia.,hola hay cupos para 6to primaria mi nino se llama lucia
WhatsApp,Hola hay cupos para primer grado? Mi niño se llama Mateo.,hola hay cupos para primer grado mi nino se llama mateo
Web,<p><b>cronograma de admision para 1ero primaria. Mi menor es Juan.</b></p>,cronograma de admision para 1ero primaria mi menor es juan
WhatsApp,Saber si hay espacios en inicial 4 años para Nicolas. Gracias.,saber si hay espacios en inicial 4 anos para nicolas gracias
Email,<p><b>Solicito información de costos y detalles para primer grado. Atte: Ana.</b></p>,solicito informacion de costos y detalles para primer grado atte ana
Web,entrevistas de admision para 6to primaria. Mi menor es Valentina.,entrevistas de admision para 6to primaria mi menor es valentina
Email,Solicito información de pensiones y detalles para secundaria. Atte: Camila.,solicito informacion de pensiones y detalles para secundaria atte camila
WhatsApp,SABER SI HAY CUPOS EN SECUNDARIA PARA SEBASTIAN. GRACIAS.,saber si hay cupos en secundaria para sebastian gracias
WhatsApp,Hola hay espacios para secundaria? Mi niño se llama Lucia.,hola hay espacios para secundaria mi nino se llama lucia
Web,reunión de admision para 1ero primaria. Mi menor es Ana.,reunion de admision para 1ero primaria mi menor es ana
Email,"ESTIMADOS, QUISIERA SABER LOS PAGOS DE 1ERO PRIMARIA PARA MI HIJO SEBASTIAN.",estimados quisiera saber los pagos de 1ero primaria para mi hijo sebastian
Email,"Estimados, quisiera saber los mensualidad de primer grado para mi hijo Juan.",estimados quisiera saber los mensualidad de primer grado para mi hijo juan
Web,papeles para traslado a 6to primaria. Postulante: Mateo.,papeles para traslado a 6to primaria postulante mateo
WhatsApp,<p><b>Hola hay lugares para 1ero primaria? Mi niño se llama Camila.</b></p>,hola hay lugares para 1ero primaria mi nino se llama camila
WhatsApp,SABER SI HAY LUGARES EN INICIAL 5 AÑOS PARA THIAGO. GRACIAS.,saber si hay lugares en inicial 5 anos para thiago gracias
WhatsApp,Saber si hay disponibilidad de ingreso en primer año para Sofia. Gracias.,saber si hay disponibilidad de ingreso en primer ano para sofia gracias
Email,Solicito información de pensiones y detalles para inicial 5 años. Atte: Thiago.,solicito informacion de pensiones y detalles para inicial 5 anos atte thiago
Web,charlas de admision para inicial 5 años. Mi menor es Camila.,charlas de admision para inicial 5 anos mi menor es camila
WhatsApp,Saber si hay disponibilidad de ingreso en 5to secundaria para Luis. Gracias.,saber si hay disponibilidad de ingreso en 5to secundaria para luis gracias
Web,<p><b>requisitos para traslado a secundaria. Postulante: Elena.</b></p>,requisitos para traslado a secundaria postulante elena
Web,CRONOGRAMA DE ADMISION PARA 5TO SECUNDARIA. MI MENOR ES NICOLAS.,cronograma de admision para 5to secundaria mi menor es nicolas
Email,Solicito información de mensualidad y detalles para 1ero primaria. Atte: Luis.,solicito informacion de mensualidad y detalles para 1ero primaria atte luis
WhatsApp,<p><b>Saber si hay espacios en inicial 3 años para Elena. Gracias.</b></p>,saber si hay espacios en inicial 3 anos para elena gracias
Web,cronograma de admision para inicial 3 años. Mi menor es Elena.,cronograma de admision para inicial 3 anos mi menor es elena
Email,"ESTIMADOS, QUISIERA SABER LOS COSTOS DE PRIMER AÑO PARA MI HIJO GABRIEL.",estimados quisiera saber los costos de primer ano para mi hijo gabriel
Web,reunión de admision para primer grado. Mi menor es Mateo.,reunion de admision para primer grado mi menor es mateo
Email,Solicito información de pensiones y detalles para 5to secundaria. Atte: Luis.,solicito informacion de pensiones y detalles para 5to secundaria atte luis
Web,partidas para traslado a 1ero primaria. Postulante: Ana.,partidas para traslado a 1ero primaria postulante ana
Web,documentos para traslado a primer grado. Postulante: Mateo.,documentos para traslado a primer grado postulante mateo
Web,documentación para traslado a primer año. Postulante: Mateo.,documentacion para traslado a primer ano postulante mateo
Web,FICHA DE MATRÍCULA PARA TRASLADO A SECUNDARIA. POSTULANTE: NICOLAS.,ficha de matricula para traslado a secundaria postulante nicolas
Web,charlas de admision para 5to secundaria. Mi menor es Sofia.,charlas de admision para 5to secundaria mi menor es sofia
Web,charlas de admision para 5to secundaria. Mi menor es Ana.,charlas de admision para 5to secundaria mi menor es ana
Email,Solicito información de cuotas y detalles para primer grado. Atte: Lucia.,solicito informacion de cuotas y detalles para primer grado atte lucia
Web,requisitos para traslado a primer grado. Postulante: Ana.,requisitos para traslado a primer grado postulante ana
WhatsApp,<p><b>Hola hay espacios para 1ero secundaria? Mi niño se llama Lucia.</b></p>,hola hay espacios para 1ero secundaria mi nino se llama lucia
Email,"Estimados, quisiera saber los costos de 1ero secundaria para mi hijo Sofia.",estimados quisiera saber los costos de 1ero secundaria para mi hijo sofia
Web,partidas para traslado a inicial 5 años. Postulante: Thiago.,partidas para traslado a inicial 5 anos postulante thiago
Web,documentos para traslado a 5to secundaria. Postulante: Lucia.,documentos para traslado a 5to secundaria postulante lucia
Web,requisitos para traslado a 1ero secundaria. Postulante: Camila.,requisitos para traslado a 1ero secundaria postulante camila
Email,"Estimados, quisiera saber los pagos de inicial 3 años para mi hijo Luis.",estimados quisiera saber los pagos de inicial 3 anos para mi hijo luis
WhatsApp,<p><b>Hola hay cupos para 5to secundaria? Mi niño se llama Elena.</b></p>,hola hay cupos para 5to secundaria mi nino se llama elena
WhatsApp,SABER SI HAY CUPOS EN 6TO PRIMARIA PARA NICOLAS. GRACIAS.,saber si hay cupos en 6to primaria para nicolas gracias
Web,entrevistas de admision para secundaria. Mi menor es Valentina.,entrevistas de admision para secundaria mi menor es valentina
Email,SOLICITO INFORMACIÓN DE MENSUALIDAD Y DETALLES PARA 6TO PRIMARIA. ATTE: NICOLAS.,solicito informacion de mensualidad y detalles para 6to primaria atte nicolas
Email,Solicito información de mensualidad y detalles para primer año. Atte: Mateo.,solicito informacion de mensualidad y detalles para primer ano atte mateo
