fuente,contenido,texto_limpio,label_sugerida,texto_preprocesado
WhatsApp,HOLA HAY CUPOS PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA VALENTINA.,hola hay cupos para 1ero secundaria mi niño se llama valentina,ADMIS_VACANTES,holar cupo 1ero secundario niño llamar valentina
WhatsApp,Hola hay lugares para 5to secundaria? Mi niño se llama Nicolas.,hola hay lugares para 5to secundaria mi niño se llama nicolas,ADMIS_VACANTES,holar lugar 5to secundario niño llamar nicola
WhatsApp,Hola hay lugares para 1ero primaria? Mi niño se llama Mateo.,hola hay lugares para 1ero primaria mi niño se llama mateo,ADMIS_VACANTES,holar lugar 1ero primario niño llamar mateo
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 1ero secundaria para Camila. Gracias.</b></p>,saber si hay disponibilidad de ingreso en 1ero secundaria para camila gracias,ADMIS_VACANTES,disponibilidad ingreso 1ero secundario camila gracias
Email,"Estimados, quisiera saber los costos de inicial 3 años para mi hijo Luis.",estimados quisiera saber los costos de inicial 3 años para mi hijo luis,ADMIS_COSTOS,estimado querer costo inicial año hijo luis
Email,Solicito información de mensualidad y detalles para 5to secundaria. Atte: Nicolas.,solicito información de mensualidad y detalles para 5to secundaria atte nicolas,ADMIS_COSTOS,solicitar información mensualidad detalle 5to secundario atte nicola
WhatsApp,Saber si hay espacios en inicial 3 años para Nicolas. Gracias.,saber si hay espacios en inicial 3 años para nicolas gracias,ADMIS_VACANTES,espacio inicial año nico él gracia
WhatsApp,<p><b>Hola hay espacios para 5to secundaria? Mi niño se llama Lucia.</b></p>,hola hay espacios para 5to secundaria mi niño se llama lucia,ADMIS_VACANTES,holar espacio 5to secundario niño llamar lucia
Web,papeles para traslado a 5to secundaria. Postulante: Camila.,papeles para traslado a 5to secundaria postulante camila,ADMIS_REQUIS_DOC,papel traslado 5to secundario postulante camilar
WhatsApp,Saber si hay lugares en 1ero primaria para Gabriel. Gracias.,saber si hay lugares en 1ero primaria para gabriel gracias,ADMIS_VACANTES,lugar 1ero primario gabriel gracias
Email,"Estimados, quisiera saber los pagos de primer año para mi hijo Camila.",estimados quisiera saber los pagos de primer año para mi hijo camila,ADMIS_COSTOS,estimado querer pago año hijo camilar
WhatsApp,Hola hay disponibilidad de ingreso para 5to secundaria? Mi niño se llama Luis.,hola hay disponibilidad de ingreso para 5to secundaria mi niño se llama luis,ADMIS_VACANTES,holar disponibilidad ingreso 5to secundario niño llamar luis
Email,<p><b>Solicito información de precios y detalles para 5to secundaria. Atte: Pedro.</b></p>,solicito información de precios y detalles para 5to secundaria atte pedro,ADMIS_COSTOS,solicitar información precio detalle 5to secundario atte pedro
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA INICIAL 3 AÑOS. ATTE: ANA.,solicito información de cuotas y detalles para inicial 3 años atte ana,ADMIS_COSTOS,solicitar información cuota detalle inicial año attar ana
Email,Solicito información de mensualidad y detalles para 1ero secundaria. Atte: Sebastian.,solicito información de mensualidad y detalles para 1ero secundaria atte sebastian,ADMIS_COSTOS,solicitar información mensualidad detalle 1ero secundario atte sebastiar
Email,Solicito información de precios y detalles para secundaria. Atte: Valentina.,solicito información de precios y detalles para secundaria atte valentina,ADMIS_COSTOS,solicitar información precio detalle secundario atte valentín
Web,documentación para traslado a primer año. Postulante: Sebastian.,documentación para traslado a primer año postulante sebastian,ADMIS_REQUIS_DOC,documentación traslado año postulante sebastiar
WhatsApp,Saber si hay vacantes en primer grado para Juan. Gracias.,saber si hay vacantes en primer grado para juan gracias,ADMIS_VACANTES,vacante grado juan gracias
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Mateo.,hola hay espacios para inicial 5 años mi niño se llama mateo,ADMIS_VACANTES,holar espacio inicial año niño llamar mateo
WhatsApp,Saber si hay vacantes en 1ero primaria para Ana. Gracias.,saber si hay vacantes en 1ero primaria para ana gracias,ADMIS_VACANTES,vacante 1ero primario ana gracias
Web,partidas para traslado a primer grado. Postulante: Gabriel.,partidas para traslado a primer grado postulante gabriel,ADMIS_REQUIS_DOC,partida traslado grado postulante gabriel
Email,SOLICITO INFORMACIÓN DE CUOTAS Y DETALLES PARA 6TO PRIMARIA. ATTE: ANA.,solicito información de cuotas y detalles para 6to primaria atte ana,ADMIS_COSTOS,solicitar información cuota detalle 6to primaria attar ana
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Juan.,hola hay lugares para secundaria mi niño se llama juan,ADMIS_VACANTES,holar lugar secundario niño llamar juan
WhatsApp,Saber si hay cupos en 1ero secundaria para Sebastian. Gracias.,saber si hay cupos en 1ero secundaria para sebastian gracias,ADMIS_VACANTES,cupo 1ero secundario sebastiar gracias
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Lucia.,hola hay lugares para inicial 3 años mi niño se llama lucia,ADMIS_VACANTES,holar lugar inicial año niño llamar lucia
WhatsApp,Saber si hay espacios en inicial 5 años para Camila. Gracias.,saber si hay espacios en inicial 5 años para camila gracias,ADMIS_VACANTES,espacio inicial año camilar gracias
WhatsApp,<p><b>Hola hay lugares para primer grado? Mi niño se llama Lucia.</b></p>,hola hay lugares para primer grado mi niño se llama lucia,ADMIS_VACANTES,holar lugar grado niño llamar lucia
WhatsApp,HOLA HAY DISPONIBILIDAD DE INGRESO PARA PRIMER GRADO? MI NIÑO SE LLAMA LUCIA.,hola hay disponibilidad de ingreso para primer grado mi niño se llama lucia,ADMIS_VACANTES,holar disponibilidad ingreso grado niño llamar lucia
Email,Solicito información de precios y detalles para 1ero secundaria. Atte: Luis.,solicito información de precios y detalles para 1ero secundaria atte luis,ADMIS_COSTOS,solicitar información precio detalle 1ero secundario atte luis
Web,<p><b>ficha de matrícula para traslado a inicial 4 años. Postulante: Maria.</b></p>,ficha de matrícula para traslado a inicial 4 años postulante maria,ADMIS_REQUIS_DOC,ficha matrícula traslado inicial año postulante mario
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE INICIAL 4 AÑOS PARA MI HIJO VALENTINA.",estimados quisiera saber los precios de inicial 4 años para mi hijo valentina,ADMIS_COSTOS,estimado querer precio inicial año hijo valentín
Web,<p><b>documentación para traslado a inicial 5 años. Postulante: Juan.</b></p>,documentación para traslado a inicial 5 años postulante juan,ADMIS_REQUIS_DOC,documentación traslado inicial año postulante juan
Web,PAPELES PARA TRASLADO A 6TO PRIMARIA. POSTULANTE: GABRIEL.,papeles para traslado a 6to primaria postulante gabriel,ADMIS_REQUIS_DOC,papel traslado 6to primaria postulante gabriel
Web,<p><b>cronograma de admision para 5to secundaria. Mi menor es Mateo.</b></p>,cronograma de admision para 5to secundaria mi menor es mateo,ADMIS_CITAS,cronograma admision 5to secundario menor mateo
Web,documentación para traslado a 1ero secundaria. Postulante: Camila.,documentación para traslado a 1ero secundaria postulante camila,ADMIS_REQUIS_DOC,documentación traslado 1ero secundario postulante camilar
Email,"Estimados, quisiera saber los costos de 5to secundaria para mi hijo Camila.",estimados quisiera saber los costos de 5to secundaria para mi hijo camila,ADMIS_COSTOS,estimado querer costo 5to secundario hijo camilar
Web,cronograma de admision para inicial 5 años. Mi menor es Lucia.,cronograma de admision para inicial 5 años mi menor es lucia,ADMIS_CITAS,cronograma admision inicial año menor lucia
Email,"Estimados, quisiera saber los pensiones de primer grado para mi hijo Ana.",estimados quisiera saber los pensiones de primer grado para mi hijo ana,ADMIS_COSTOS,estimado querer pensión grado hijo án
Email,<p><b>Solicito información de cuotas y detalles para inicial 4 años. Atte: Valentina.</b></p>,solicito información de cuotas y detalles para inicial 4 años atte valentina,ADMIS_COSTOS,solicitar información cuota detalle inicial año atte valentín
WhatsApp,<p><b>Hola hay espacios para inicial 3 años? Mi niño se llama Maria.</b></p>,hola hay espacios para inicial 3 años mi niño se llama maria,ADMIS_VACANTES,holar espacio inicial año niño llamar mario
WhatsApp,HOLA HAY VACANTES PARA SECUNDARIA? MI NIÑO SE LLAMA SOFIA.,hola hay vacantes para secundaria mi niño se llama sofia,ADMIS_VACANTES,holar vacante secundario niño llamar sofia
Web,<p><b>reunión de admision para primer año. Mi menor es Nicolas.</b></p>,reunión de admision para primer año mi menor es nicolas,OTROS,reunión admision año menor nicola
WhatsApp,<p><b>Hola hay vacantes para primer año? Mi niño se llama Gabriel.</b></p>,hola hay vacantes para primer año mi niño se llama gabriel,ADMIS_VACANTES,holar vacante año niño llamar gabriel
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Gabriel.",estimados quisiera saber los precios de inicial 3 años para mi hijo gabriel,ADMIS_COSTOS,estimado querer precio inicial año hijo gabriel
WhatsApp,SABER SI HAY CUPOS EN INICIAL 3 AÑOS PARA ANA. GRACIAS.,saber si hay cupos en inicial 3 años para ana gracias,ADMIS_VACANTES,cupo inicial año ana gracias
Email,"<p><b>Estimados, quisiera saber los precios de 5to secundaria para mi hijo Ana.</b></p>",estimados quisiera saber los precios de 5to secundaria para mi hijo ana,ADMIS_COSTOS,estimado querer precio 5to secundario hijo án
WhatsApp,HOLA HAY VACANTES PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA GABRIEL.,hola hay vacantes para 1ero secundaria mi niño se llama gabriel,ADMIS_VACANTES,holar vacante 1ero secundario niño llamar gabriel
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Maria.",estimados quisiera saber los precios de inicial 4 años para mi hijo maria,ADMIS_COSTOS,estimado querer precio inicial año hijo mario
WhatsApp,HOLA HAY LUGARES PARA PRIMER GRADO? MI NIÑO SE LLAMA VALENTINA.,hola hay lugares para primer grado mi niño se llama valentina,ADMIS_VACANTES,holar lugar grado niño llamar valentina
Web,ficha de matrícula para traslado a primer grado. Postulante: Luis.,ficha de matrícula para traslado a primer grado postulante luis,ADMIS_REQUIS_DOC,ficha matrícula traslado grado postulante luis
Web,REQUISITOS PARA TRASLADO A INICIAL 5 AÑOS. POSTULANTE: ELENA.,requisitos para traslado a inicial 5 años postulante elena,ADMIS_REQUIS_DOC,requisito traslado inicial año postulante elén
WhatsApp,Saber si hay cupos en 1ero secundaria para Elena. Gracias.,saber si hay cupos en 1ero secundaria para elena gracias,ADMIS_VACANTES,cupo 1ero secundario elena gracias
WhatsApp,Hola hay espacios para inicial 4 años? Mi niño se llama Sebastian.,hola hay espacios para inicial 4 años mi niño se llama sebastian,ADMIS_VACANTES,holar espacio inicial año niño llamar sebastian
WhatsApp,Hola hay espacios para inicial 5 años? Mi niño se llama Elena.,hola hay espacios para inicial 5 años mi niño se llama elena,ADMIS_VACANTES,holar espacio inicial año niño llamar elena
WhatsApp,Hola hay disponibilidad de ingreso para primer grado? Mi niño se llama Sofia.,hola hay disponibilidad de ingreso para primer grado mi niño se llama sofia,ADMIS_VACANTES,holar disponibilidad ingreso grado niño llamar sofia
Web,<p><b>documentación para traslado a 1ero primaria. Postulante: Sebastian.</b></p>,documentación para traslado a 1ero primaria postulante sebastian,ADMIS_REQUIS_DOC,documentación traslado 1ero primaria postulante sebastiar
WhatsApp,Saber si hay disponibilidad de ingreso en primer grado para Sofia. Gracias.,saber si hay disponibilidad de ingreso en primer grado para sofia gracias,ADMIS_VACANTES,disponibilidad ingreso grado sofia gracias
WhatsApp,<p><b>Saber si hay espacios en inicial 4 años para Valentina. Gracias.</b></p>,saber si hay espacios en inicial 4 años para valentina gracias,ADMIS_VACANTES,espacio inicial año valentina gracias
WhatsApp,Hola hay disponibilidad de ingreso para primer año? Mi niño se llama Gabriel.,hola hay disponibilidad de ingreso para primer año mi niño se llama gabriel,ADMIS_VACANTES,holar disponibilidad ingreso año niño llamar gabriel
WhatsApp,Saber si hay vacantes en primer grado para Ana. Gracias.,saber si hay vacantes en primer grado para ana gracias,ADMIS_VACANTES,vacante grado ana gracias
Web,documentos para traslado a secundaria. Postulante: Ana.,documentos para traslado a secundaria postulante ana,ADMIS_REQUIS_DOC,documento traslado secundario postulante ana
Email,"Estimados, quisiera saber los pagos de 5to secundaria para mi hijo Mateo.",estimados quisiera saber los pagos de 5to secundaria para mi hijo mateo,ADMIS_COSTOS,estimado querer pago 5to secundario hijo mateo
WhatsApp,Hola hay lugares para inicial 5 años? Mi niño se llama Camila.,hola hay lugares para inicial 5 años mi niño se llama camila,ADMIS_VACANTES,holar lugar inicial año niño llamar camila
Email,Solicito información de precios y detalles para inicial 4 años. Atte: Pedro.,solicito información de precios y detalles para inicial 4 años atte pedro,ADMIS_COSTOS,solicitar información precio detalle inicial año atte pedro
WhatsApp,<p><b>Hola hay vacantes para primer año? Mi niño se llama Lucia.</b></p>,hola hay vacantes para primer año mi niño se llama lucia,ADMIS_VACANTES,holar vacante año niño llamar lucia
Web,<p><b>documentos para traslado a inicial 4 años. Postulante: Elena.</b></p>,documentos para traslado a inicial 4 años postulante elena,ADMIS_REQUIS_DOC,documento traslado inicial año postulante elén
Web,partidas para traslado a inicial 5 años. Postulante: Luis.,partidas para traslado a inicial 5 años postulante luis,ADMIS_REQUIS_DOC,partida traslado inicial año postulante luis
Web,<p><b>papeles para traslado a primer grado. Postulante: Maria.</b></p>,papeles para traslado a primer grado postulante maria,ADMIS_REQUIS_DOC,papel traslado grado postulante mario
Email,Solicito información de costos y detalles para inicial 3 años. Atte: Pedro.,solicito información de costos y detalles para inicial 3 años atte pedro,ADMIS_COSTOS,solicitar información costo detalle inicial año atte pedro
WhatsApp,Saber si hay cupos en secundaria para Ana. Gracias.,saber si hay cupos en secundaria para ana gracias,ADMIS_VACANTES,cupo secundaria ana gracias
WhatsApp,Saber si hay vacantes en secundaria para Thiago. Gracias.,saber si hay vacantes en secundaria para thiago gracias,ADMIS_VACANTES,vacante secundaria thiago gracias
Web,papeles para traslado a primer año. Postulante: Sofia.,papeles para traslado a primer año postulante sofia,ADMIS_REQUIS_DOC,papel traslado año postulante sofia
Web,<p><b>ficha de matrícula para traslado a 5to secundaria. Postulante: Valentina.</b></p>,ficha de matrícula para traslado a 5to secundaria postulante valentina,ADMIS_REQUIS_DOC,ficha matrícula traslado 5to secundario postulante valentín
WhatsApp,<p><b>Saber si hay disponibilidad de ingreso en 6to primaria para Ana. Gracias.</b></p>,saber si hay disponibilidad de ingreso en 6to primaria para ana gracias,ADMIS_VACANTES,disponibilidad ingreso 6to primario ana gracias
Email,Solicito información de pagos y detalles para 5to secundaria. Atte: Lucia.,solicito información de pagos y detalles para 5to secundaria atte lucia,ADMIS_COSTOS,solicitar información pago detalle 5to secundario atte lucia
Web,reunión de admision para primer grado. Mi menor es Valentina.,reunión de admision para primer grado mi menor es valentina,OTROS,reunión admision grado menor valentín
Web,documentación para traslado a 6to primaria. Postulante: Ana.,documentación para traslado a 6to primaria postulante ana,ADMIS_REQUIS_DOC,documentación traslado 6to primaria postulante ana
Web,CHARLAS DE ADMISION PARA 1ERO SECUNDARIA. MI MENOR ES VALENTINA.,charlas de admision para 1ero secundaria mi menor es valentina,ADMIS_CITAS,charla admision 1ero secundario menor valentín
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Ana.,hola hay lugares para secundaria mi niño se llama ana,ADMIS_VACANTES,holar lugar secundario niño llamar án
WhatsApp,Hola hay cupos para 5to secundaria? Mi niño se llama Maria.,hola hay cupos para 5to secundaria mi niño se llama maria,ADMIS_VACANTES,holar cupo 5to secundario niño llamar mario
Email,<p><b>Solicito información de precios y detalles para primer año. Atte: Gabriel.</b></p>,solicito información de precios y detalles para primer año atte gabriel,ADMIS_COSTOS,solicitar información precio detalle año atte gabriel
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Juan.,hola hay lugares para inicial 3 años mi niño se llama juan,ADMIS_VACANTES,holar lugar inicial año niño llamar juan
Email,Solicito información de cuotas y detalles para 5to secundaria. Atte: Sofia.,solicito información de cuotas y detalles para 5to secundaria atte sofia,ADMIS_COSTOS,solicitar información cuota detalle 5to secundario atte sofia
WhatsApp,<p><b>Saber si hay espacios en inicial 4 años para Juan. Gracias.</b></p>,saber si hay espacios en inicial 4 años para juan gracias,ADMIS_VACANTES,espacio inicial año juan gracias
Web,entrevistas de admision para 1ero primaria. Mi menor es Sofia.,entrevistas de admision para 1ero primaria mi menor es sofia,ADMIS_CITAS,entrevista admision 1ero primario menor sofia
WhatsApp,Hola hay lugares para secundaria? Mi niño se llama Elena.,hola hay lugares para secundaria mi niño se llama elena,ADMIS_VACANTES,holar lugar secundario niño llamar elena
Web,<p><b>ficha de matrícula para traslado a 5to secundaria. Postulante: Sebastian.</b></p>,ficha de matrícula para traslado a 5to secundaria postulante sebastian,ADMIS_REQUIS_DOC,ficha matrícula traslado 5to secundario postulante sebastiar
WhatsApp,SABER SI HAY ESPACIOS EN PRIMER AÑO PARA SEBASTIAN. GRACIAS.,saber si hay espacios en primer año para sebastian gracias,ADMIS_VACANTES,espacio año sebastiar gracias
WhatsApp,Saber si hay cupos en inicial 5 años para Lucia. Gracias.,saber si hay cupos en inicial 5 años para lucia gracias,ADMIS_VACANTES,cupo inicial año lucia gracias
Email,<p><b>Solicito información de cuotas y detalles para secundaria. Atte: Ana.</b></p>,solicito información de cuotas y detalles para secundaria atte ana,ADMIS_COSTOS,solicitar información cuota detalle secundario atte ana
Web,charlas de admision para primer grado. Mi menor es Sebastian.,charlas de admision para primer grado mi menor es sebastian,ADMIS_CITAS,charla admision grado menor sebastiar
WhatsApp,Saber si hay vacantes en inicial 3 años para Valentina. Gracias.,saber si hay vacantes en inicial 3 años para valentina gracias,ADMIS_VACANTES,vacante inicial año valentina gracias
Web,<p><b>ficha de matrícula para traslado a 5to secundaria. Postulante: Luis.</b></p>,ficha de matrícula para traslado a 5to secundaria postulante luis,ADMIS_REQUIS_DOC,ficha matrícula traslado 5to secundario postulante luis
Email,Solicito información de mensualidad y detalles para primer año. Atte: Thiago.,solicito información de mensualidad y detalles para primer año atte thiago,ADMIS_COSTOS,solicitar información mensualidad detalle año attar thiago
Email,"Estimados, quisiera saber los costos de primer grado para mi hijo Lucia.",estimados quisiera saber los costos de primer grado para mi hijo lucia,ADMIS_COSTOS,estimado querer costo grado hijo lucia
Web,cronograma de admision para inicial 4 años. Mi menor es Thiago.,cronograma de admision para inicial 4 años mi menor es thiago,ADMIS_CITAS,cronograma admision inicial año menor thiago
WhatsApp,SABER SI HAY DISPONIBILIDAD DE INGRESO EN 5TO SECUNDARIA PARA SEBASTIAN. GRACIAS.,saber si hay disponibilidad de ingreso en 5to secundaria para sebastian gracias,ADMIS_VACANTES,disponibilidad ingreso 5to secundario sebastiar gracias
Web,documentación para traslado a inicial 5 años. Postulante: Elena.,documentación para traslado a inicial 5 años postulante elena,ADMIS_REQUIS_DOC,documentación traslado inicial año postulante elén
Web,documentos para traslado a secundaria. Postulante: Valentina.,documentos para traslado a secundaria postulante valentina,ADMIS_REQUIS_DOC,documento traslado secundaria postulante valentín
Web,<p><b>citas de admision para inicial 5 años. Mi menor es Thiago.</b></p>,citas de admision para inicial 5 años mi menor es thiago,ADMIS_CITAS,cita admision inicial año menor thiago
Web,reunión de admision para inicial 4 años. Mi menor es Lucia.,reunión de admision para inicial 4 años mi menor es lucia,OTROS,reunión admision inicial año menor lucia
WhatsApp,Hola hay lugares para inicial 3 años? Mi niño se llama Nicolas.,hola hay lugares para inicial 3 años mi niño se llama nicolas,ADMIS_VACANTES,holar lugar inicial año niño llamar nicola
WhatsApp,Hola hay espacios para 6to primaria? Mi niño se llama Thiago.,hola hay espacios para 6to primaria mi niño se llama thiago,ADMIS_VACANTES,holar espacio 6to primario niño llamar thiago
Email,"Estimados, quisiera saber los mensualidad de primer año para mi hijo Pedro.",estimados quisiera saber los mensualidad de primer año para mi hijo pedro,ADMIS_COSTOS,estimado querer mensualidad año hijo pedro
Email,<p><b>Solicito información de mensualidad y detalles para secundaria. Atte: Lucia.</b></p>,solicito información de mensualidad y detalles para secundaria atte lucia,ADMIS_COSTOS,solicitar información mensualidad detalle secundario atte lucia
Web,requisitos para traslado a 6to primaria. Postulante: Ana.,requisitos para traslado a 6to primaria postulante ana,ADMIS_REQUIS_DOC,requisito traslado 6to primaria postulante ana
Web,citas de admision para 5to secundaria. Mi menor es Thiago.,citas de admision para 5to secundaria mi menor es thiago,ADMIS_CITAS,cita admision 5to secundario menor thiago
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Luis.,hola hay vacantes para 6to primaria mi niño se llama luis,ADMIS_VACANTES,holar vacante 6to primaria niño llamar luis
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Ana.",estimados quisiera saber los precios de inicial 5 años para mi hijo ana,ADMIS_COSTOS,estimado querer precio inicial año hijo án
Email,Solicito información de precios y detalles para 5to secundaria. Atte: Maria.,solicito información de precios y detalles para 5to secundaria atte maria,ADMIS_COSTOS,solicitar información precio detalle 5to secundario atte mario
WhatsApp,Saber si hay lugares en primer año para Maria. Gracias.,saber si hay lugares en primer año para maria gracias,ADMIS_VACANTES,lugar año maria gracias
Web,entrevistas de admision para secundaria. Mi menor es Ana.,entrevistas de admision para secundaria mi menor es ana,ADMIS_CITAS,entrevista admision secundario menor án
Web,documentos para traslado a inicial 3 años. Postulante: Sofia.,documentos para traslado a inicial 3 años postulante sofia,ADMIS_REQUIS_DOC,documento traslado inicial año postulante sofia
