fuente,contenido,texto_limpio,label_sugerida
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Mateo.",estimados quisiera saber los precios de inicial 4 años para mi hijo mateo,ADMIS_COSTOS
WhatsApp,<p><b>Saber si hay cupos en 5to secundaria para Sebastian. Gracias.</b></p>,saber si hay cupos en 5to secundaria para sebastian gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero primaria para Thiago. Gracias.,saber si hay cupos en 1ero primaria para thiago gracias,ADMIS_VACANTES
Email,SOLICITO INFORMACIÓN DE PENSIONES Y CUOTA DE INGRESO PARA 1ERO SECUNDARIA.,solicito información de pensiones y cuota de ingreso para 1ero secundaria,ADMIS_COSTOS
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Elena. Gracias.</b></p>,saber si hay cupos en 1ero secundaria para elena gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero secundaria para Thiago. Gracias.,saber si hay cupos en 1ero secundaria para thiago gracias,ADMIS_VACANTES
WhatsApp,HOLA HAY VACANTES PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA SEBASTIAN.,hola hay vacantes para inicial 4 años mi niño se llama sebastian,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 5 años para Gabriel. Gracias.,saber si hay cupos en inicial 5 años para gabriel gracias,ADMIS_VACANTES
Web,Cronograma de admision y charlas para inicial 3 años.,cronograma de admision y charlas para inicial 3 años,ADMIS_CITAS
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Elena.,hola hay vacantes para 6to primaria mi niño se llama elena,ADMIS_VACANTES
Web,Cronograma de admision y charlas para 1ero secundaria.,cronograma de admision y charlas para 1ero secundaria,ADMIS_CITAS
Web,Requisitos para traslado a inicial 3 años. Postulante: Gabriel.,requisitos para traslado a inicial 3 años postulante gabriel,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Saber si hay cupos en 6to primaria para Valentina. Gracias.</b></p>,saber si hay cupos en 6to primaria para valentina gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero secundaria para Sofia. Gracias.,saber si hay cupos en 1ero secundaria para sofia gracias,ADMIS_VACANTES
Web,<p><b>Cronograma de admision y charlas para 6to primaria.</b></p>,cronograma de admision y charlas para 6to primaria,ADMIS_CITAS
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Lucia.,hola hay vacantes para 1ero primaria mi niño se llama lucia,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 1ero primaria. Postulante: Mateo.</b></p>,requisitos para traslado a 1ero primaria postulante mateo,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Mateo.",estimados quisiera saber los precios de 1ero secundaria para mi hijo mateo,ADMIS_COSTOS
WhatsApp,<p><b>Hola hay vacantes para 5to secundaria? Mi niño se llama Elena.</b></p>,hola hay vacantes para 5to secundaria mi niño se llama elena,ADMIS_VACANTES
Web,Cronograma de admision y charlas para 5to secundaria.,cronograma de admision y charlas para 5to secundaria,ADMIS_CITAS
WhatsApp,HOLA HAY VACANTES PARA 5TO SECUNDARIA? MI NIÑO SE LLAMA THIAGO.,hola hay vacantes para 5to secundaria mi niño se llama thiago,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Mateo.",estimados quisiera saber los precios de 1ero primaria para mi hijo mateo,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Nicolas.,hola hay vacantes para inicial 3 años mi niño se llama nicolas,ADMIS_VACANTES
WhatsApp,HOLA HAY VACANTES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA THIAGO.,hola hay vacantes para 1ero primaria mi niño se llama thiago,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero secundaria. Postulante: Sofia.,requisitos para traslado a 1ero secundaria postulante sofia,ADMIS_REQUIS_DOC
Web,CRONOGRAMA DE ADMISION Y CHARLAS PARA 1ERO PRIMARIA.,cronograma de admision y charlas para 1ero primaria,ADMIS_CITAS
Email,Solicito información de pensiones y cuota de ingreso para inicial 4 años.,solicito información de pensiones y cuota de ingreso para inicial 4 años,ADMIS_COSTOS
Web,Requisitos para traslado a inicial 3 años. Postulante: Valentina.,requisitos para traslado a inicial 3 años postulante valentina,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Elena.",estimados quisiera saber los precios de 5to secundaria para mi hijo elena,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Valentina.",estimados quisiera saber los precios de inicial 4 años para mi hijo valentina,ADMIS_COSTOS
Email,"ESTIMADOS, QUISIERA SABER LOS PRECIOS DE 1ERO PRIMARIA PARA MI HIJO ELENA.",estimados quisiera saber los precios de 1ero primaria para mi hijo elena,ADMIS_COSTOS
Web,Requisitos para traslado a 6to primaria. Postulante: Elena.,requisitos para traslado a 6to primaria postulante elena,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 6to primaria. Postulante: Camila.,requisitos para traslado a 6to primaria postulante camila,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Valentina.,hola hay vacantes para 1ero secundaria mi niño se llama valentina,ADMIS_VACANTES
Web,Requisitos para traslado a 5to secundaria. Postulante: Lucia.,requisitos para traslado a 5to secundaria postulante lucia,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Valentina.",estimados quisiera saber los precios de inicial 3 años para mi hijo valentina,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 6to primaria para Lucia. Gracias.,saber si hay cupos en 6to primaria para lucia gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 5to secundaria. Postulante: Gabriel.,requisitos para traslado a 5to secundaria postulante gabriel,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Valentina.",estimados quisiera saber los precios de 1ero primaria para mi hijo valentina,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Lucia.",estimados quisiera saber los precios de inicial 5 años para mi hijo lucia,ADMIS_COSTOS
Web,<p><b>Requisitos para traslado a 6to primaria. Postulante: Mateo.</b></p>,requisitos para traslado a 6to primaria postulante mateo,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Sebastian.",estimados quisiera saber los precios de inicial 4 años para mi hijo sebastian,ADMIS_COSTOS
WhatsApp,SABER SI HAY CUPOS EN INICIAL 5 AÑOS PARA ELENA. GRACIAS.,saber si hay cupos en inicial 5 años para elena gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Sebastian.",estimados quisiera saber los precios de 6to primaria para mi hijo sebastian,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Lucia.,hola hay vacantes para 5to secundaria mi niño se llama lucia,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Gabriel.",estimados quisiera saber los precios de inicial 4 años para mi hijo gabriel,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Camila.,hola hay vacantes para 5to secundaria mi niño se llama camila,ADMIS_VACANTES
WhatsApp,SABER SI HAY CUPOS EN INICIAL 4 AÑOS PARA SEBASTIAN. GRACIAS.,saber si hay cupos en inicial 4 años para sebastian gracias,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a inicial 4 años. Postulante: Gabriel.</b></p>,requisitos para traslado a inicial 4 años postulante gabriel,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 1ero primaria. Postulante: Sofia.,requisitos para traslado a 1ero primaria postulante sofia,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Camila.",estimados quisiera saber los precios de inicial 3 años para mi hijo camila,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en inicial 5 años para Mateo. Gracias.,saber si hay cupos en inicial 5 años para mateo gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 5to secundaria para Thiago. Gracias.,saber si hay cupos en 5to secundaria para thiago gracias,ADMIS_VACANTES
Email,Solicito información de pensiones y cuota de ingreso para 5to secundaria.,solicito información de pensiones y cuota de ingreso para 5to secundaria,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Camila.",estimados quisiera saber los precios de inicial 5 años para mi hijo camila,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Valentina.,hola hay vacantes para inicial 4 años mi niño se llama valentina,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 3 años para Sebastian. Gracias.,saber si hay cupos en inicial 3 años para sebastian gracias,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 5 años. Postulante: Elena.,requisitos para traslado a inicial 5 años postulante elena,ADMIS_REQUIS_DOC
Web,<p><b>Requisitos para traslado a 1ero primaria. Postulante: Camila.</b></p>,requisitos para traslado a 1ero primaria postulante camila,ADMIS_REQUIS_DOC
Email,"<p><b>Estimados, quisiera saber los precios de 1ero primaria para mi hijo Gabriel.</b></p>",estimados quisiera saber los precios de 1ero primaria para mi hijo gabriel,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 5to secundaria para Gabriel. Gracias.,saber si hay cupos en 5to secundaria para gabriel gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 6to primaria. Postulante: Valentina.,requisitos para traslado a 6to primaria postulante valentina,ADMIS_REQUIS_DOC
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sofia.",estimados quisiera saber los precios de 5to secundaria para mi hijo sofia,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en inicial 4 años para Mateo. Gracias.,saber si hay cupos en inicial 4 años para mateo gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 3 años para Mateo. Gracias.,saber si hay cupos en inicial 3 años para mateo gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Camila.",estimados quisiera saber los precios de 1ero secundaria para mi hijo camila,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Valentina.",estimados quisiera saber los precios de 5to secundaria para mi hijo valentina,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Thiago.,hola hay vacantes para inicial 3 años mi niño se llama thiago,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 5 años. Postulante: Valentina.,requisitos para traslado a inicial 5 años postulante valentina,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 5 años para Nicolas. Gracias.,saber si hay cupos en inicial 5 años para nicolas gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero secundaria. Postulante: Nicolas.,requisitos para traslado a 1ero secundaria postulante nicolas,ADMIS_REQUIS_DOC
WhatsApp,SABER SI HAY CUPOS EN 5TO SECUNDARIA PARA SOFIA. GRACIAS.,saber si hay cupos en 5to secundaria para sofia gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 5 años para Lucia. Gracias.,saber si hay cupos en inicial 5 años para lucia gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero secundaria para Mateo. Gracias.,saber si hay cupos en 1ero secundaria para mateo gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Sebastian.",estimados quisiera saber los precios de 5to secundaria para mi hijo sebastian,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Valentina.",estimados quisiera saber los precios de inicial 5 años para mi hijo valentina,ADMIS_COSTOS
WhatsApp,SABER SI HAY CUPOS EN 1ERO PRIMARIA PARA LUCIA. GRACIAS.,saber si hay cupos en 1ero primaria para lucia gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Elena.",estimados quisiera saber los precios de 1ero secundaria para mi hijo elena,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Gabriel.",estimados quisiera saber los precios de 1ero secundaria para mi hijo gabriel,ADMIS_COSTOS
Web,<p><b>Requisitos para traslado a inicial 4 años. Postulante: Mateo.</b></p>,requisitos para traslado a inicial 4 años postulante mateo,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a inicial 3 años. Postulante: Sofia.,requisitos para traslado a inicial 3 años postulante sofia,ADMIS_REQUIS_DOC
WhatsApp,SABER SI HAY CUPOS EN INICIAL 4 AÑOS PARA ELENA. GRACIAS.,saber si hay cupos en inicial 4 años para elena gracias,ADMIS_VACANTES
Email,"<p><b>Estimados, quisiera saber los precios de 6to primaria para mi hijo Sofia.</b></p>",estimados quisiera saber los precios de 6to primaria para mi hijo sofia,ADMIS_COSTOS
WhatsApp,HOLA HAY VACANTES PARA 6TO PRIMARIA? MI NIÑO SE LLAMA NICOLAS.,hola hay vacantes para 6to primaria mi niño se llama nicolas,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 3 años. Postulante: Mateo.,requisitos para traslado a inicial 3 años postulante mateo,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 5to secundaria. Postulante: Camila.,requisitos para traslado a 5to secundaria postulante camila,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a inicial 5 años. Postulante: Sofia.,requisitos para traslado a inicial 5 años postulante sofia,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 1ero secundaria. Postulante: Thiago.,requisitos para traslado a 1ero secundaria postulante thiago,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en 1ero primaria para Sofia. Gracias.,saber si hay cupos en 1ero primaria para sofia gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Nicolas.",estimados quisiera saber los precios de 6to primaria para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Camila.,hola hay vacantes para inicial 3 años mi niño se llama camila,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Mateo.,hola hay vacantes para 5to secundaria mi niño se llama mateo,ADMIS_VACANTES
WhatsApp,HOLA HAY VACANTES PARA 1ERO PRIMARIA? MI NIÑO SE LLAMA NICOLAS.,hola hay vacantes para 1ero primaria mi niño se llama nicolas,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero primaria. Postulante: Valentina.,requisitos para traslado a 1ero primaria postulante valentina,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Hola hay vacantes para inicial 3 años? Mi niño se llama Lucia.</b></p>,hola hay vacantes para inicial 3 años mi niño se llama lucia,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 4 años para Lucia. Gracias.,saber si hay cupos en inicial 4 años para lucia gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Gabriel.",estimados quisiera saber los precios de 6to primaria para mi hijo gabriel,ADMIS_COSTOS
WhatsApp,HOLA HAY VACANTES PARA 1ERO SECUNDARIA? MI NIÑO SE LLAMA SOFIA.,hola hay vacantes para 1ero secundaria mi niño se llama sofia,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en 6to primaria para Mateo. Gracias.</b></p>,saber si hay cupos en 6to primaria para mateo gracias,ADMIS_VACANTES
Web,Requisitos para traslado a 1ero primaria. Postulante: Lucia.,requisitos para traslado a 1ero primaria postulante lucia,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Saber si hay cupos en 5to secundaria para Elena. Gracias.</b></p>,saber si hay cupos en 5to secundaria para elena gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Valentina.",estimados quisiera saber los precios de 1ero secundaria para mi hijo valentina,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Nicolas.",estimados quisiera saber los precios de 1ero primaria para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en inicial 3 años para Valentina. Gracias.,saber si hay cupos en inicial 3 años para valentina gracias,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 4 años. Postulante: Nicolas.,requisitos para traslado a inicial 4 años postulante nicolas,ADMIS_REQUIS_DOC
Web,<p><b>Requisitos para traslado a inicial 4 años. Postulante: Camila.</b></p>,requisitos para traslado a inicial 4 años postulante camila,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en inicial 5 años para Valentina. Gracias.,saber si hay cupos en inicial 5 años para valentina gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 1ero secundaria para Gabriel. Gracias.,saber si hay cupos en 1ero secundaria para gabriel gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Lucia.",estimados quisiera saber los precios de inicial 3 años para mi hijo lucia,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Elena.",estimados quisiera saber los precios de inicial 3 años para mi hijo elena,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Nicolas.",estimados quisiera saber los precios de 1ero secundaria para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 1ero primaria para Mateo. Gracias.,saber si hay cupos en 1ero primaria para mateo gracias,ADMIS_VACANTES
Email,"<p><b>Estimados, quisiera saber los precios de inicial 4 años para mi hijo Nicolas.</b></p>",estimados quisiera saber los precios de inicial 4 años para mi hijo nicolas,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Sofia.",estimados quisiera saber los precios de 1ero primaria para mi hijo sofia,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Elena.",estimados quisiera saber los precios de inicial 4 años para mi hijo elena,ADMIS_COSTOS
Web,Requisitos para traslado a inicial 5 años. Postulante: Mateo.,requisitos para traslado a inicial 5 años postulante mateo,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Saber si hay cupos en 6to primaria para Gabriel. Gracias.</b></p>,saber si hay cupos en 6to primaria para gabriel gracias,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en 1ero primaria para Camila. Gracias.</b></p>,saber si hay cupos en 1ero primaria para camila gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 5 años para mi hijo Sebastian.",estimados quisiera saber los precios de inicial 5 años para mi hijo sebastian,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Gabriel.,hola hay vacantes para 6to primaria mi niño se llama gabriel,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en 6to primaria para Sebastian. Gracias.</b></p>,saber si hay cupos en 6to primaria para sebastian gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 3 años para mi hijo Nicolas.",estimados quisiera saber los precios de inicial 3 años para mi hijo nicolas,ADMIS_COSTOS
WhatsApp,SABER SI HAY CUPOS EN 6TO PRIMARIA PARA SOFIA. GRACIAS.,saber si hay cupos en 6to primaria para sofia gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 3 años? Mi niño se llama Gabriel.,hola hay vacantes para inicial 3 años mi niño se llama gabriel,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Gabriel.,hola hay vacantes para inicial 5 años mi niño se llama gabriel,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Sofia.,hola hay vacantes para inicial 5 años mi niño se llama sofia,ADMIS_VACANTES
WhatsApp,<p><b>Hola hay vacantes para 1ero secundaria? Mi niño se llama Gabriel.</b></p>,hola hay vacantes para 1ero secundaria mi niño se llama gabriel,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 5 años? Mi niño se llama Thiago.,hola hay vacantes para inicial 5 años mi niño se llama thiago,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Gabriel.,hola hay vacantes para 1ero primaria mi niño se llama gabriel,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 4 años. Postulante: Sofia.,requisitos para traslado a inicial 4 años postulante sofia,ADMIS_REQUIS_DOC
WhatsApp,Saber si hay cupos en 1ero primaria para Elena. Gracias.,saber si hay cupos en 1ero primaria para elena gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 6to primaria para mi hijo Thiago.",estimados quisiera saber los precios de 6to primaria para mi hijo thiago,ADMIS_COSTOS
Email,"Estimados, quisiera saber los precios de 5to secundaria para mi hijo Camila.",estimados quisiera saber los precios de 5to secundaria para mi hijo camila,ADMIS_COSTOS
Web,<p><b>Requisitos para traslado a inicial 3 años. Postulante: Nicolas.</b></p>,requisitos para traslado a inicial 3 años postulante nicolas,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 1ero secundaria. Postulante: Valentina.,requisitos para traslado a 1ero secundaria postulante valentina,ADMIS_REQUIS_DOC
WhatsApp,HOLA HAY VACANTES PARA INICIAL 4 AÑOS? MI NIÑO SE LLAMA ELENA.,hola hay vacantes para inicial 4 años mi niño se llama elena,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Lucia.,hola hay vacantes para 1ero secundaria mi niño se llama lucia,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 6to primaria? Mi niño se llama Lucia.,hola hay vacantes para 6to primaria mi niño se llama lucia,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en inicial 3 años para Thiago. Gracias.</b></p>,saber si hay cupos en inicial 3 años para thiago gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en 6to primaria para Thiago. Gracias.,saber si hay cupos en 6to primaria para thiago gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 5to secundaria? Mi niño se llama Sebastian.,hola hay vacantes para 5to secundaria mi niño se llama sebastian,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero secundaria para mi hijo Thiago.",estimados quisiera saber los precios de 1ero secundaria para mi hijo thiago,ADMIS_COSTOS
WhatsApp,Hola hay vacantes para 1ero primaria? Mi niño se llama Sebastian.,hola hay vacantes para 1ero primaria mi niño se llama sebastian,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a 5to secundaria. Postulante: Valentina.</b></p>,requisitos para traslado a 5to secundaria postulante valentina,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Saber si hay cupos en inicial 5 años para Camila. Gracias.</b></p>,saber si hay cupos en inicial 5 años para camila gracias,ADMIS_VACANTES
Web,<p><b>Requisitos para traslado a inicial 3 años. Postulante: Sebastian.</b></p>,requisitos para traslado a inicial 3 años postulante sebastian,ADMIS_REQUIS_DOC
Web,Requisitos para traslado a 1ero primaria. Postulante: Sebastian.,requisitos para traslado a 1ero primaria postulante sebastian,ADMIS_REQUIS_DOC
WhatsApp,<p><b>Hola hay vacantes para 1ero primaria? Mi niño se llama Sofia.</b></p>,hola hay vacantes para 1ero primaria mi niño se llama sofia,ADMIS_VACANTES
Web,Requisitos para traslado a inicial 4 años. Postulante: Valentina.,requisitos para traslado a inicial 4 años postulante valentina,ADMIS_REQUIS_DOC
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Gabriel.,hola hay vacantes para inicial 4 años mi niño se llama gabriel,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de inicial 4 años para mi hijo Camila.",estimados quisiera saber los precios de inicial 4 años para mi hijo camila,ADMIS_COSTOS
WhatsApp,Saber si hay cupos en 1ero secundaria para Camila. Gracias.,saber si hay cupos en 1ero secundaria para camila gracias,ADMIS_VACANTES
Email,"Estimados, quisiera saber los precios de 1ero primaria para mi hijo Camila.",estimados quisiera saber los precios de 1ero primaria para mi hijo camila,ADMIS_COSTOS
WhatsApp,<p><b>Hola hay vacantes para 5to secundaria? Mi niño se llama Valentina.</b></p>,hola hay vacantes para 5to secundaria mi niño se llama valentina,ADMIS_VACANTES
WhatsApp,SABER SI HAY CUPOS EN INICIAL 4 AÑOS PARA VALENTINA. GRACIAS.,saber si hay cupos en inicial 4 años para valentina gracias,ADMIS_VACANTES
WhatsApp,<p><b>Saber si hay cupos en 1ero secundaria para Nicolas. Gracias.</b></p>,saber si hay cupos en 1ero secundaria para nicolas gracias,ADMIS_VACANTES
WhatsApp,Saber si hay cupos en inicial 4 años para Gabriel. Gracias.,saber si hay cupos en inicial 4 años para gabriel gracias,ADMIS_VACANTES
WhatsApp,SABER SI HAY CUPOS EN 5TO SECUNDARIA PARA NICOLAS. GRACIAS.,saber si hay cupos en 5to secundaria para nicolas gracias,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para 1ero secundaria? Mi niño se llama Mateo.,hola hay vacantes para 1ero secundaria mi niño se llama mateo,ADMIS_VACANTES
WhatsApp,Hola hay vacantes para inicial 4 años? Mi niño se llama Sofia.,hola hay vacantes para inicial 4 años mi niño se llama sofia,ADMIS_VACANTES
